County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
46 - Sierra,1/5/2015,Pending Construction,0.00,0,
46 - Sierra,1/5/2015,In Construction,0.00,0,
46 - Sierra,1/5/2015,In Closure,0.00,0,
47 - Siskiyou,1/5/2015,In Review,374000.00,2,
47 - Siskiyou,1/5/2015,Pending Construction,789700.00,3,
47 - Siskiyou,1/5/2015,In Construction,1045021.00,8,
47 - Siskiyou,1/5/2015,In Closure,442807.00,3,
48 - Solano,1/5/2015,In Review,59243274.00,14,Bay Area Counties
48 - Solano,1/5/2015,Pending Construction,12822691.00,10,Bay Area Counties
48 - Solano,1/5/2015,In Construction,40129212.00,26,Bay Area Counties
48 - Solano,1/5/2015,In Closure,25657431.00,21,Bay Area Counties
49 - Sonoma,1/5/2015,In Review,1890700.00,16,Bay Area Counties
49 - Sonoma,1/5/2015,Pending Construction,1208111.00,14,Bay Area Counties
49 - Sonoma,1/5/2015,In Construction,51990481.00,39,Bay Area Counties
49 - Sonoma,1/5/2015,In Closure,134386972.00,29,Bay Area Counties
50 - Stanislaus,1/5/2015,In Review,21139631.00,12,
50 - Stanislaus,1/5/2015,Pending Construction,6127781.00,25,
50 - Stanislaus,1/5/2015,In Construction,7950271.00,36,
50 - Stanislaus,1/5/2015,In Closure,35224541.00,43,
51 - Sutter,1/5/2015,In Review,0.00,1,
51 - Sutter,1/5/2015,Pending Construction,12704683.00,3,
51 - Sutter,1/5/2015,In Construction,275467.00,1,
51 - Sutter,1/5/2015,In Closure,0.00,0,
52 - Tehama,1/5/2015,In Review,174000.00,1,
52 - Tehama,1/5/2015,Pending Construction,414575.00,6,
52 - Tehama,1/5/2015,In Construction,2174252.00,6,
52 - Tehama,1/5/2015,In Closure,0.00,0,
53 - Trinity,1/5/2015,In Review,1028200.00,6,
53 - Trinity,1/5/2015,Pending Construction,8500.00,1,
53 - Trinity,1/5/2015,In Construction,115025.00,1,
53 - Trinity,1/5/2015,In Closure,0.00,0,
54 - Tulare,1/5/2015,In Review,32898818.00,14,
54 - Tulare,1/5/2015,Pending Construction,756260.00,10,
54 - Tulare,1/5/2015,In Construction,78849469.00,14,
54 - Tulare,1/5/2015,In Closure,1124519.00,12,
55 - Tuolumne,1/5/2015,In Review,0.00,0,
55 - Tuolumne,1/5/2015,Pending Construction,7414.00,2,
55 - Tuolumne,1/5/2015,In Construction,423711.00,3,
55 - Tuolumne,1/5/2015,In Closure,1177039.00,7,
56 - Ventura,1/5/2015,In Review,83786911.00,42,Greater Los Angeles Counties
56 - Ventura,1/5/2015,Pending Construction,16748117.00,50,Greater Los Angeles Counties
56 - Ventura,1/5/2015,In Construction,397518732.00,87,Greater Los Angeles Counties
56 - Ventura,1/5/2015,In Closure,37728873.00,35,Greater Los Angeles Counties
57 - Yolo,1/5/2015,In Review,96060.00,4,Greater Sacramento Counties
57 - Yolo,1/5/2015,Pending Construction,2231555.00,5,Greater Sacramento Counties
57 - Yolo,1/5/2015,In Construction,2714234.00,12,Greater Sacramento Counties
57 - Yolo,1/5/2015,In Closure,1432107.00,5,Greater Sacramento Counties
58 - Yuba,1/5/2015,In Review,5399853.00,4,
58 - Yuba,1/5/2015,Pending Construction,44585275.00,1,
58 - Yuba,1/5/2015,In Construction,94717513.00,5,
58 - Yuba,1/5/2015,In Closure,60105.00,2,
01 - Alameda,1/15/2015,In Review,128975373.00,58,Bay Area Counties
01 - Alameda,1/15/2015,Pending Construction,314506086.00,127,Bay Area Counties
01 - Alameda,1/15/2015,In Construction,379055675.00,126,Bay Area Counties
01 - Alameda,1/15/2015,In Closure,1204150711.00,138,Bay Area Counties
02 - Alpine,1/15/2015,In Review,0.00,0,
02 - Alpine,1/15/2015,Pending Construction,0.00,0,
02 - Alpine,1/15/2015,In Construction,0.00,0,
02 - Alpine,1/15/2015,In Closure,0.00,0,
03 - Amador,1/15/2015,In Review,6000.00,1,
03 - Amador,1/15/2015,Pending Construction,90043.00,3,
03 - Amador,1/15/2015,In Construction,4511019.00,10,
03 - Amador,1/15/2015,In Closure,0.00,0,
04 - Butte,1/15/2015,In Review,2400876.00,11,
04 - Butte,1/15/2015,Pending Construction,8867355.00,17,
04 - Butte,1/15/2015,In Construction,84825352.00,6,
04 - Butte,1/15/2015,In Closure,4359337.00,9,
05 - Calaveras,1/15/2015,In Review,0.00,0,
05 - Calaveras,1/15/2015,Pending Construction,97000.00,1,
05 - Calaveras,1/15/2015,In Construction,457129.00,6,
05 - Calaveras,1/15/2015,In Closure,47531.00,1,
06 - Colusa,1/15/2015,In Review,0.00,0,
06 - Colusa,1/15/2015,Pending Construction,0.00,0,
06 - Colusa,1/15/2015,In Construction,168782.00,2,
06 - Colusa,1/15/2015,In Closure,27425.00,2,
07 - Contra Costa,1/15/2015,In Review,35236290.00,37,Bay Area Counties
07 - Contra Costa,1/15/2015,Pending Construction,17531218.00,53,Bay Area Counties
07 - Contra Costa,1/15/2015,In Construction,28071281.00,50,Bay Area Counties
07 - Contra Costa,1/15/2015,In Closure,34842758.00,18,Bay Area Counties
08 - Del Norte,1/15/2015,In Review,0.00,1,
08 - Del Norte,1/15/2015,Pending Construction,25970.00,2,
08 - Del Norte,1/15/2015,In Construction,902000.00,1,
08 - Del Norte,1/15/2015,In Closure,493000.00,1,
09 - El Dorado,1/15/2015,In Review,8394234.00,8,Greater Sacramento Counties
09 - El Dorado,1/15/2015,Pending Construction,3512500.00,2,Greater Sacramento Counties
09 - El Dorado,1/15/2015,In Construction,18932489.00,11,Greater Sacramento Counties
09 - El Dorado,1/15/2015,In Closure,22418937.00,3,Greater Sacramento Counties
10 - Fresno,1/15/2015,In Review,31229248.00,18,
10 - Fresno,1/15/2015,Pending Construction,23001425.00,37,
10 - Fresno,1/15/2015,In Construction,258185062.00,85,
10 - Fresno,1/15/2015,In Closure,19981590.00,88,
11 - Glenn,1/15/2015,In Review,12962075.00,2,
11 - Glenn,1/15/2015,Pending Construction,0.00,0,
11 - Glenn,1/15/2015,In Construction,334685.00,2,
11 - Glenn,1/15/2015,In Closure,0.00,0,
12 - Humboldt,1/15/2015,In Review,12062000.00,5,
12 - Humboldt,1/15/2015,Pending Construction,871035.00,7,
12 - Humboldt,1/15/2015,In Construction,89104641.00,15,
12 - Humboldt,1/15/2015,In Closure,159452.00,3,
13 - Imperial,1/15/2015,In Review,150000.00,1,
13 - Imperial,1/15/2015,Pending Construction,25650000.00,5,
13 - Imperial,1/15/2015,In Construction,480458.00,6,
13 - Imperial,1/15/2015,In Closure,35000.00,1,
14 - Inyo,1/15/2015,In Review,30000.00,1,
14 - Inyo,1/15/2015,Pending Construction,5000.00,1,
14 - Inyo,1/15/2015,In Construction,50996.00,3,
14 - Inyo,1/15/2015,In Closure,15380.00,1,
15 - Kern,1/15/2015,In Review,8164176.00,22,
15 - Kern,1/15/2015,Pending Construction,2834736.00,15,
15 - Kern,1/15/2015,In Construction,69410672.00,38,
15 - Kern,1/15/2015,In Closure,5494305.00,22,
16 - Kings,1/15/2015,In Review,43199.00,3,
16 - Kings,1/15/2015,Pending Construction,4915000.00,3,
16 - Kings,1/15/2015,In Construction,28666321.00,8,
16 - Kings,1/15/2015,In Closure,131398.00,6,
17 - Lake,1/15/2015,In Review,527374.00,4,
17 - Lake,1/15/2015,Pending Construction,226000.00,2,
17 - Lake,1/15/2015,In Construction,11434006.00,12,
17 - Lake,1/15/2015,In Closure,1375319.00,8,
18 - Lassen,1/15/2015,In Review,1022560.00,4,
18 - Lassen,1/15/2015,Pending Construction,772910.00,4,
18 - Lassen,1/15/2015,In Construction,1010807.00,9,
18 - Lassen,1/15/2015,In Closure,237907.00,1,
19 - Los Angeles,1/15/2015,In Review,561165305.00,534,Greater Los Angeles Counties
19 - Los Angeles,1/15/2015,Pending Construction,281092472.00,496,Greater Los Angeles Counties
19 - Los Angeles,1/15/2015,In Construction,940440089.00,809,Greater Los Angeles Counties
19 - Los Angeles,1/15/2015,In Closure,1329064988.00,728,Greater Los Angeles Counties
20 - Madera,1/15/2015,In Review,145000.00,3,
20 - Madera,1/15/2015,Pending Construction,242755.00,4,
20 - Madera,1/15/2015,In Construction,2791773.00,12,
20 - Madera,1/15/2015,In Closure,19254155.00,20,
21 - Marin,1/15/2015,In Review,213870287.00,25,Bay Area Counties
21 - Marin,1/15/2015,Pending Construction,1823838.00,11,Bay Area Counties
21 - Marin,1/15/2015,In Construction,28874544.00,19,Bay Area Counties
21 - Marin,1/15/2015,In Closure,1452307.00,10,Bay Area Counties
22 - Mariposa,1/15/2015,In Review,198686.00,1,
22 - Mariposa,1/15/2015,Pending Construction,0.00,0,
22 - Mariposa,1/15/2015,In Construction,163850.00,1,
22 - Mariposa,1/15/2015,In Closure,0.00,0,
23 - Mendocino,1/15/2015,In Review,14222551.00,13,
23 - Mendocino,1/15/2015,Pending Construction,235500.00,5,
23 - Mendocino,1/15/2015,In Construction,44048172.00,18,
23 - Mendocino,1/15/2015,In Closure,62229.00,3,
24 - Merced,1/15/2015,In Review,163600.00,5,
24 - Merced,1/15/2015,Pending Construction,250500.00,4,
24 - Merced,1/15/2015,In Construction,13601399.00,8,
24 - Merced,1/15/2015,In Closure,298567.00,5,
25 - Modoc,1/15/2015,In Review,0.00,0,
25 - Modoc,1/15/2015,Pending Construction,0.00,0,
25 - Modoc,1/15/2015,In Construction,0.00,0,
25 - Modoc,1/15/2015,In Closure,0.00,0,
26 - Mono,1/15/2015,In Review,95397.00,1,
26 - Mono,1/15/2015,Pending Construction,60000.00,1,
26 - Mono,1/15/2015,In Construction,22398.00,4,
26 - Mono,1/15/2015,In Closure,0.00,0,
27 - Monterey,1/15/2015,In Review,9094617.00,19,
27 - Monterey,1/15/2015,Pending Construction,1033500.00,7,
27 - Monterey,1/15/2015,In Construction,34930823.00,11,
27 - Monterey,1/15/2015,In Closure,474337.00,6,
28 - Napa,1/15/2015,In Review,2345240.00,21,Bay Area Counties
28 - Napa,1/15/2015,Pending Construction,166950.00,4,Bay Area Counties
28 - Napa,1/15/2015,In Construction,35392770.00,19,Bay Area Counties
28 - Napa,1/15/2015,In Closure,49460954.00,15,Bay Area Counties
29 - Nevada,1/15/2015,In Review,6606200.00,8,
29 - Nevada,1/15/2015,Pending Construction,0.00,0,
29 - Nevada,1/15/2015,In Construction,48644514.00,30,
29 - Nevada,1/15/2015,In Closure,1156725.00,3,
30 - Orange,1/15/2015,In Review,30802555.00,79,Greater Los Angeles Counties
30 - Orange,1/15/2015,Pending Construction,52670892.00,79,Greater Los Angeles Counties
30 - Orange,1/15/2015,In Construction,114715455.00,159,Greater Los Angeles Counties
30 - Orange,1/15/2015,In Closure,86465533.00,202,Greater Los Angeles Counties
31 - Placer,1/15/2015,In Review,8034828.00,18,Greater Sacramento Counties
31 - Placer,1/15/2015,Pending Construction,1725330.00,15,Greater Sacramento Counties
31 - Placer,1/15/2015,In Construction,24998434.00,28,Greater Sacramento Counties
31 - Placer,1/15/2015,In Closure,95142999.00,15,Greater Sacramento Counties
32 - Plumas,1/15/2015,In Review,128118.00,3,
32 - Plumas,1/15/2015,Pending Construction,76437.00,4,
32 - Plumas,1/15/2015,In Construction,75900.00,2,
32 - Plumas,1/15/2015,In Closure,7946.00,1,
33 - Riverside,1/15/2015,In Review,212844731.00,77,
33 - Riverside,1/15/2015,Pending Construction,185187342.00,71,
33 - Riverside,1/15/2015,In Construction,136074290.00,133,
33 - Riverside,1/15/2015,In Closure,43604959.00,66,
34 - Sacramento,1/15/2015,In Review,88460821.00,55,Greater Sacramento Counties
34 - Sacramento,1/15/2015,Pending Construction,105657821.00,44,Greater Sacramento Counties
34 - Sacramento,1/15/2015,In Construction,283018864.00,139,Greater Sacramento Counties
34 - Sacramento,1/15/2015,In Closure,108320791.00,59,Greater Sacramento Counties
35 - San Benito,1/15/2015,In Review,0.00,0,
35 - San Benito,1/15/2015,Pending Construction,167000.00,2,
35 - San Benito,1/15/2015,In Construction,14008205.00,3,
35 - San Benito,1/15/2015,In Closure,250000.00,1,
36 - San Bernardino,1/15/2015,In Review,111308959.00,56,
36 - San Bernardino,1/15/2015,Pending Construction,128559269.00,77,
36 - San Bernardino,1/15/2015,In Construction,177975435.00,135,
36 - San Bernardino,1/15/2015,In Closure,43654366.00,68,
37 - San Diego,1/15/2015,In Review,88678153.00,132,
37 - San Diego,1/15/2015,Pending Construction,26801815.00,105,
37 - San Diego,1/15/2015,In Construction,1181326984.00,243,
37 - San Diego,1/15/2015,In Closure,107089816.00,192,
38 - San Francisco,1/15/2015,In Review,929303314.00,63,Bay Area Counties
38 - San Francisco,1/15/2015,Pending Construction,60554453.00,55,Bay Area Counties
38 - San Francisco,1/15/2015,In Construction,1385999099.00,119,Bay Area Counties
38 - San Francisco,1/15/2015,In Closure,759225638.00,36,Bay Area Counties
39 - San Joaquin,1/15/2015,In Review,34967578.00,35,
39 - San Joaquin,1/15/2015,Pending Construction,2212675.00,22,
39 - San Joaquin,1/15/2015,In Construction,18241430.00,45,
39 - San Joaquin,1/15/2015,In Closure,89974679.00,20,
40 - San Luis Obispo,1/15/2015,In Review,275000.00,3,
40 - San Luis Obispo,1/15/2015,Pending Construction,1334500.00,9,
40 - San Luis Obispo,1/15/2015,In Construction,6383865.00,19,
40 - San Luis Obispo,1/15/2015,In Closure,9664340.00,28,
41 - San Mateo,1/15/2015,In Review,205796613.00,31,Bay Area Counties
41 - San Mateo,1/15/2015,Pending Construction,18894565.00,22,Bay Area Counties
41 - San Mateo,1/15/2015,In Construction,112664050.00,38,Bay Area Counties
41 - San Mateo,1/15/2015,In Closure,72557313.00,25,Bay Area Counties
42 - Santa Barbara,1/15/2015,In Review,11091675.00,18,
42 - Santa Barbara,1/15/2015,Pending Construction,8924640.00,23,
42 - Santa Barbara,1/15/2015,In Construction,372599380.00,51,
42 - Santa Barbara,1/15/2015,In Closure,82821427.00,20,
43 - Santa Clara,1/15/2015,In Review,226144308.00,83,Bay Area Counties
43 - Santa Clara,1/15/2015,Pending Construction,177020917.00,51,Bay Area Counties
43 - Santa Clara,1/15/2015,In Construction,1535622815.00,145,Bay Area Counties
43 - Santa Clara,1/15/2015,In Closure,108060408.00,55,Bay Area Counties
44 - Santa Cruz,1/15/2015,In Review,811216.00,6,
44 - Santa Cruz,1/15/2015,Pending Construction,681777.00,3,
44 - Santa Cruz,1/15/2015,In Construction,11038626.00,21,
44 - Santa Cruz,1/15/2015,In Closure,7648776.00,5,
45 - Shasta,1/15/2015,In Review,21205545.00,11,
45 - Shasta,1/15/2015,Pending Construction,1403415.00,17,
45 - Shasta,1/15/2015,In Construction,10196114.00,32,
45 - Shasta,1/15/2015,In Closure,342031.00,2,
46 - Sierra,1/15/2015,In Review,0.00,0,
46 - Sierra,1/15/2015,Pending Construction,0.00,0,
46 - Sierra,1/15/2015,In Construction,0.00,0,
46 - Sierra,1/15/2015,In Closure,0.00,0,
47 - Siskiyou,1/15/2015,In Review,374500.00,3,
47 - Siskiyou,1/15/2015,Pending Construction,789700.00,3,
47 - Siskiyou,1/15/2015,In Construction,1045021.00,8,
47 - Siskiyou,1/15/2015,In Closure,30000.00,2,
48 - Solano,1/15/2015,In Review,59224761.00,14,Bay Area Counties
48 - Solano,1/15/2015,Pending Construction,8136204.00,10,Bay Area Counties
48 - Solano,1/15/2015,In Construction,45043714.00,26,Bay Area Counties
48 - Solano,1/15/2015,In Closure,3676096.00,18,Bay Area Counties
49 - Sonoma,1/15/2015,In Review,2045700.00,17,Bay Area Counties
49 - Sonoma,1/15/2015,Pending Construction,987366.00,11,Bay Area Counties
49 - Sonoma,1/15/2015,In Construction,52346514.00,42,Bay Area Counties
49 - Sonoma,1/15/2015,In Closure,134041972.00,28,Bay Area Counties
50 - Stanislaus,1/15/2015,In Review,23306090.00,12,
50 - Stanislaus,1/15/2015,Pending Construction,5635322.00,23,
50 - Stanislaus,1/15/2015,In Construction,8697275.00,39,
50 - Stanislaus,1/15/2015,In Closure,34610190.00,35,
51 - Sutter,1/15/2015,In Review,0.00,1,
51 - Sutter,1/15/2015,Pending Construction,12704683.00,3,
51 - Sutter,1/15/2015,In Construction,275467.00,1,
51 - Sutter,1/15/2015,In Closure,0.00,0,
52 - Tehama,1/15/2015,In Review,174000.00,1,
52 - Tehama,1/15/2015,Pending Construction,414575.00,6,
52 - Tehama,1/15/2015,In Construction,2176252.00,6,
52 - Tehama,1/15/2015,In Closure,0.00,0,
53 - Trinity,1/15/2015,In Review,1028200.00,6,
53 - Trinity,1/15/2015,Pending Construction,8500.00,1,
53 - Trinity,1/15/2015,In Construction,115025.00,1,
53 - Trinity,1/15/2015,In Closure,0.00,0,
54 - Tulare,1/15/2015,In Review,29410818.00,15,
54 - Tulare,1/15/2015,Pending Construction,779500.00,10,
54 - Tulare,1/15/2015,In Construction,78876229.00,15,
54 - Tulare,1/15/2015,In Closure,1072519.00,11,
55 - Tuolumne,1/15/2015,In Review,0.00,0,
55 - Tuolumne,1/15/2015,Pending Construction,0.00,0,
55 - Tuolumne,1/15/2015,In Construction,431125.00,5,
55 - Tuolumne,1/15/2015,In Closure,1177039.00,7,
56 - Ventura,1/15/2015,In Review,90444475.00,41,Greater Los Angeles Counties
56 - Ventura,1/15/2015,Pending Construction,18896193.00,50,Greater Los Angeles Counties
56 - Ventura,1/15/2015,In Construction,397384732.00,87,Greater Los Angeles Counties
56 - Ventura,1/15/2015,In Closure,37873873.00,35,Greater Los Angeles Counties
57 - Yolo,1/15/2015,In Review,96060.00,4,Greater Sacramento Counties
57 - Yolo,1/15/2015,Pending Construction,2231555.00,5,Greater Sacramento Counties
57 - Yolo,1/15/2015,In Construction,2736234.00,12,Greater Sacramento Counties
57 - Yolo,1/15/2015,In Closure,1432107.00,5,Greater Sacramento Counties
58 - Yuba,1/15/2015,In Review,5334000.00,4,
58 - Yuba,1/15/2015,Pending Construction,44785128.00,2,
58 - Yuba,1/15/2015,In Construction,94717513.00,5,
58 - Yuba,1/15/2015,In Closure,60105.00,2,
01 - Alameda,1/29/2015,In Review,127552006.00,55,Bay Area Counties
01 - Alameda,1/29/2015,Pending Construction,315756986.00,127,Bay Area Counties
01 - Alameda,1/29/2015,In Construction,370920751.00,123,Bay Area Counties
01 - Alameda,1/29/2015,In Closure,1430099373.00,144,Bay Area Counties
02 - Alpine,1/29/2015,In Review,0.00,0,
02 - Alpine,1/29/2015,Pending Construction,0.00,0,
02 - Alpine,1/29/2015,In Construction,0.00,0,
02 - Alpine,1/29/2015,In Closure,0.00,0,
03 - Amador,1/29/2015,In Review,6000.00,1,
03 - Amador,1/29/2015,Pending Construction,90043.00,3,
03 - Amador,1/29/2015,In Construction,4511019.00,10,
03 - Amador,1/29/2015,In Closure,0.00,0,
04 - Butte,1/29/2015,In Review,2400876.00,11,
04 - Butte,1/29/2015,Pending Construction,8867355.00,17,
04 - Butte,1/29/2015,In Construction,84825352.00,6,
04 - Butte,1/29/2015,In Closure,3900564.00,7,
05 - Calaveras,1/29/2015,In Review,0.00,0,
05 - Calaveras,1/29/2015,Pending Construction,97000.00,1,
05 - Calaveras,1/29/2015,In Construction,408927.00,4,
05 - Calaveras,1/29/2015,In Closure,95733.00,3,
06 - Colusa,1/29/2015,In Review,0.00,0,
06 - Colusa,1/29/2015,Pending Construction,0.00,0,
06 - Colusa,1/29/2015,In Construction,168782.00,2,
06 - Colusa,1/29/2015,In Closure,2425.00,1,
07 - Contra Costa,1/29/2015,In Review,35389314.00,38,Bay Area Counties
07 - Contra Costa,1/29/2015,Pending Construction,17426437.00,51,Bay Area Counties
07 - Contra Costa,1/29/2015,In Construction,27569335.00,48,Bay Area Counties
07 - Contra Costa,1/29/2015,In Closure,35471578.00,25,Bay Area Counties
08 - Del Norte,1/29/2015,In Review,0.00,1,
08 - Del Norte,1/29/2015,Pending Construction,25970.00,2,
08 - Del Norte,1/29/2015,In Construction,902000.00,1,
08 - Del Norte,1/29/2015,In Closure,0.00,0,
09 - El Dorado,1/29/2015,In Review,8394234.00,8,Greater Sacramento Counties
09 - El Dorado,1/29/2015,Pending Construction,3512500.00,2,Greater Sacramento Counties
09 - El Dorado,1/29/2015,In Construction,18868576.00,10,Greater Sacramento Counties
09 - El Dorado,1/29/2015,In Closure,22418937.00,3,Greater Sacramento Counties
10 - Fresno,1/29/2015,In Review,31306435.00,18,
10 - Fresno,1/29/2015,Pending Construction,23038688.00,36,
10 - Fresno,1/29/2015,In Construction,257977554.00,88,
10 - Fresno,1/29/2015,In Closure,19895200.00,84,
11 - Glenn,1/29/2015,In Review,12962075.00,2,
11 - Glenn,1/29/2015,Pending Construction,0.00,0,
11 - Glenn,1/29/2015,In Construction,334685.00,2,
11 - Glenn,1/29/2015,In Closure,0.00,0,
12 - Humboldt,1/29/2015,In Review,12062000.00,5,
12 - Humboldt,1/29/2015,Pending Construction,717000.00,6,
12 - Humboldt,1/29/2015,In Construction,89243676.00,16,
12 - Humboldt,1/29/2015,In Closure,159452.00,3,
13 - Imperial,1/29/2015,In Review,0.00,0,
13 - Imperial,1/29/2015,Pending Construction,25785000.00,5,
13 - Imperial,1/29/2015,In Construction,480458.00,6,
13 - Imperial,1/29/2015,In Closure,35000.00,1,
14 - Inyo,1/29/2015,In Review,30000.00,1,
14 - Inyo,1/29/2015,Pending Construction,5000.00,1,
14 - Inyo,1/29/2015,In Construction,50996.00,3,
14 - Inyo,1/29/2015,In Closure,15380.00,1,
15 - Kern,1/29/2015,In Review,7969676.00,22,
15 - Kern,1/29/2015,Pending Construction,3037736.00,16,
15 - Kern,1/29/2015,In Construction,68308672.00,38,
15 - Kern,1/29/2015,In Closure,6507566.00,21,
16 - Kings,1/29/2015,In Review,18199.00,1,
16 - Kings,1/29/2015,Pending Construction,4940000.00,5,
16 - Kings,1/29/2015,In Construction,28666321.00,8,
16 - Kings,1/29/2015,In Closure,115398.00,5,
17 - Lake,1/29/2015,In Review,1392374.00,5,
17 - Lake,1/29/2015,Pending Construction,226000.00,2,
17 - Lake,1/29/2015,In Construction,11442006.00,12,
17 - Lake,1/29/2015,In Closure,1375319.00,8,
18 - Lassen,1/29/2015,In Review,1022560.00,4,
18 - Lassen,1/29/2015,Pending Construction,772910.00,4,
18 - Lassen,1/29/2015,In Construction,1010807.00,9,
18 - Lassen,1/29/2015,In Closure,237907.00,1,
19 - Los Angeles,1/29/2015,In Review,568555878.00,528,Greater Los Angeles Counties
19 - Los Angeles,1/29/2015,Pending Construction,275318551.00,499,Greater Los Angeles Counties
19 - Los Angeles,1/29/2015,In Construction,941495560.00,812,Greater Los Angeles Counties
19 - Los Angeles,1/29/2015,In Closure,1311408533.00,727,Greater Los Angeles Counties
20 - Madera,1/29/2015,In Review,145000.00,4,
20 - Madera,1/29/2015,Pending Construction,162755.00,4,
20 - Madera,1/29/2015,In Construction,3085773.00,13,
20 - Madera,1/29/2015,In Closure,15926195.00,16,
21 - Marin,1/29/2015,In Review,213881313.00,24,Bay Area Counties
21 - Marin,1/29/2015,Pending Construction,1088914.00,13,Bay Area Counties
21 - Marin,1/29/2015,In Construction,29873192.00,20,Bay Area Counties
21 - Marin,1/29/2015,In Closure,1505507.00,11,Bay Area Counties
22 - Mariposa,1/29/2015,In Review,198686.00,1,
22 - Mariposa,1/29/2015,Pending Construction,0.00,0,
22 - Mariposa,1/29/2015,In Construction,163850.00,1,
22 - Mariposa,1/29/2015,In Closure,0.00,0,
23 - Mendocino,1/29/2015,In Review,14234311.00,14,
23 - Mendocino,1/29/2015,Pending Construction,235500.00,5,
23 - Mendocino,1/29/2015,In Construction,44052672.00,18,
23 - Mendocino,1/29/2015,In Closure,62229.00,3,
24 - Merced,1/29/2015,In Review,167600.00,6,
24 - Merced,1/29/2015,Pending Construction,250500.00,4,
24 - Merced,1/29/2015,In Construction,13601399.00,8,
24 - Merced,1/29/2015,In Closure,298567.00,5,
25 - Modoc,1/29/2015,In Review,0.00,0,
25 - Modoc,1/29/2015,Pending Construction,0.00,0,
25 - Modoc,1/29/2015,In Construction,0.00,0,
25 - Modoc,1/29/2015,In Closure,0.00,0,
26 - Mono,1/29/2015,In Review,95397.00,1,
26 - Mono,1/29/2015,Pending Construction,60000.00,1,
26 - Mono,1/29/2015,In Construction,22398.00,4,
26 - Mono,1/29/2015,In Closure,0.00,0,
27 - Monterey,1/29/2015,In Review,9083617.00,19,
27 - Monterey,1/29/2015,Pending Construction,1048500.00,8,
27 - Monterey,1/29/2015,In Construction,34905823.00,10,
27 - Monterey,1/29/2015,In Closure,278252.00,5,
28 - Napa,1/29/2015,In Review,2285240.00,20,Bay Area Counties
28 - Napa,1/29/2015,Pending Construction,226950.00,5,Bay Area Counties
28 - Napa,1/29/2015,In Construction,34639701.00,16,Bay Area Counties
28 - Napa,1/29/2015,In Closure,50219023.00,18,Bay Area Counties
29 - Nevada,1/29/2015,In Review,5856200.00,7,
29 - Nevada,1/29/2015,Pending Construction,0.00,0,
29 - Nevada,1/29/2015,In Construction,48817612.00,31,
29 - Nevada,1/29/2015,In Closure,1156725.00,3,
30 - Orange,1/29/2015,In Review,30023068.00,74,Greater Los Angeles Counties
30 - Orange,1/29/2015,Pending Construction,53064355.00,85,Greater Los Angeles Counties
30 - Orange,1/29/2015,In Construction,115619560.00,159,Greater Los Angeles Counties
30 - Orange,1/29/2015,In Closure,87345651.00,211,Greater Los Angeles Counties
31 - Placer,1/29/2015,In Review,7470722.00,17,Greater Sacramento Counties
31 - Placer,1/29/2015,Pending Construction,1664316.00,14,Greater Sacramento Counties
31 - Placer,1/29/2015,In Construction,26741653.00,31,Greater Sacramento Counties
31 - Placer,1/29/2015,In Closure,95142999.00,15,Greater Sacramento Counties
32 - Plumas,1/29/2015,In Review,128118.00,3,
32 - Plumas,1/29/2015,Pending Construction,76437.00,4,
32 - Plumas,1/29/2015,In Construction,75900.00,2,
32 - Plumas,1/29/2015,In Closure,7946.00,1,
33 - Riverside,1/29/2015,In Review,220896231.00,83,
33 - Riverside,1/29/2015,Pending Construction,177099730.00,67,
33 - Riverside,1/29/2015,In Construction,135122112.00,129,
33 - Riverside,1/29/2015,In Closure,41131158.00,69,
34 - Sacramento,1/29/2015,In Review,103106956.00,61,Greater Sacramento Counties
34 - Sacramento,1/29/2015,Pending Construction,104729502.00,38,Greater Sacramento Counties
34 - Sacramento,1/29/2015,In Construction,283962535.00,143,Greater Sacramento Counties
34 - Sacramento,1/29/2015,In Closure,107637999.00,47,Greater Sacramento Counties
35 - San Benito,1/29/2015,In Review,0.00,0,
35 - San Benito,1/29/2015,Pending Construction,167000.00,2,
35 - San Benito,1/29/2015,In Construction,14008205.00,3,
35 - San Benito,1/29/2015,In Closure,250000.00,1,
36 - San Bernardino,1/29/2015,In Review,114301484.00,59,
36 - San Bernardino,1/29/2015,Pending Construction,128768269.00,78,
36 - San Bernardino,1/29/2015,In Construction,176318612.00,132,
36 - San Bernardino,1/29/2015,In Closure,47447105.00,69,
37 - San Diego,1/29/2015,In Review,92179162.00,125,
37 - San Diego,1/29/2015,Pending Construction,26450744.00,111,
37 - San Diego,1/29/2015,In Construction,1177418125.00,247,
37 - San Diego,1/29/2015,In Closure,108789229.00,190,
38 - San Francisco,1/29/2015,In Review,929537809.00,62,Bay Area Counties
38 - San Francisco,1/29/2015,Pending Construction,60324220.00,56,Bay Area Counties
38 - San Francisco,1/29/2015,In Construction,1386354845.00,119,Bay Area Counties
38 - San Francisco,1/29/2015,In Closure,759172268.00,37,Bay Area Counties
39 - San Joaquin,1/29/2015,In Review,35122367.00,35,
39 - San Joaquin,1/29/2015,Pending Construction,2257886.00,23,
39 - San Joaquin,1/29/2015,In Construction,18154704.00,44,
39 - San Joaquin,1/29/2015,In Closure,89777621.00,19,
40 - San Luis Obispo,1/29/2015,In Review,275000.00,3,
