County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
52 - Tehama,12/3/2015,In Construction,2576244.00,9,
52 - Tehama,12/3/2015,In Closure,579078.00,4,
53 - Trinity,12/3/2015,In Review,140000.00,1,
53 - Trinity,12/3/2015,Pending Construction,288500.00,3,
53 - Trinity,12/3/2015,In Construction,1382817.00,1,
53 - Trinity,12/3/2015,In Closure,115605.00,1,
54 - Tulare,12/3/2015,In Review,25832389.00,12,
54 - Tulare,12/3/2015,Pending Construction,4198800.00,9,
54 - Tulare,12/3/2015,In Construction,78827705.00,22,
54 - Tulare,12/3/2015,In Closure,1157364.00,5,
55 - Tuolumne,12/3/2015,In Review,68000.00,1,
55 - Tuolumne,12/3/2015,Pending Construction,1817602.00,1,
55 - Tuolumne,12/3/2015,In Construction,5000.00,1,
55 - Tuolumne,12/3/2015,In Closure,575861.00,3,
56 - Ventura,12/3/2015,In Review,76272597.00,50,Greater Los Angeles Counties
56 - Ventura,12/3/2015,Pending Construction,26967636.00,36,Greater Los Angeles Counties
56 - Ventura,12/3/2015,In Construction,548731262.00,96,Greater Los Angeles Counties
56 - Ventura,12/3/2015,In Closure,39849981.00,31,Greater Los Angeles Counties
57 - Yolo,12/3/2015,In Review,3551086.00,4,Greater Sacramento Counties
57 - Yolo,12/3/2015,Pending Construction,2970726.00,12,Greater Sacramento Counties
57 - Yolo,12/3/2015,In Construction,4482805.00,13,Greater Sacramento Counties
57 - Yolo,12/3/2015,In Closure,823730.00,2,Greater Sacramento Counties
58 - Yuba,12/3/2015,In Review,4602909.00,6,
58 - Yuba,12/3/2015,Pending Construction,5510000.00,5,
58 - Yuba,12/3/2015,In Construction,96453310.00,5,
58 - Yuba,12/3/2015,In Closure,44739275.00,2,
01 - Alameda,12/17/2015,In Review,137994324.00,67,Bay Area Counties
01 - Alameda,12/17/2015,Pending Construction,76776913.00,112,Bay Area Counties
01 - Alameda,12/17/2015,In Construction,529586623.00,139,Bay Area Counties
01 - Alameda,12/17/2015,In Closure,177630421.00,81,Bay Area Counties
02 - Alpine,12/17/2015,In Review,0.00,0,
02 - Alpine,12/17/2015,Pending Construction,0.00,0,
02 - Alpine,12/17/2015,In Construction,0.00,0,
02 - Alpine,12/17/2015,In Closure,0.00,0,
03 - Amador,12/17/2015,In Review,400000.00,1,
03 - Amador,12/17/2015,Pending Construction,243225.00,3,
03 - Amador,12/17/2015,In Construction,5649853.00,3,
03 - Amador,12/17/2015,In Closure,1306353.00,3,
04 - Butte,12/17/2015,In Review,1345167.00,3,
04 - Butte,12/17/2015,Pending Construction,5792854.00,10,
04 - Butte,12/17/2015,In Construction,2821915.00,10,
04 - Butte,12/17/2015,In Closure,97599802.00,8,
05 - Calaveras,12/17/2015,In Review,73423.00,1,
05 - Calaveras,12/17/2015,Pending Construction,33750.00,1,
05 - Calaveras,12/17/2015,In Construction,103650.00,1,
05 - Calaveras,12/17/2015,In Closure,398844.00,4,
06 - Colusa,12/17/2015,In Review,0.00,0,
06 - Colusa,12/17/2015,Pending Construction,0.00,0,
06 - Colusa,12/17/2015,In Construction,0.00,0,
06 - Colusa,12/17/2015,In Closure,137066.00,3,
07 - Contra Costa,12/17/2015,In Review,27152003.00,28,Bay Area Counties
07 - Contra Costa,12/17/2015,Pending Construction,10947717.00,29,Bay Area Counties
07 - Contra Costa,12/17/2015,In Construction,41622153.00,72,Bay Area Counties
07 - Contra Costa,12/17/2015,In Closure,9589663.00,25,Bay Area Counties
08 - Del Norte,12/17/2015,In Review,2140000.00,2,
08 - Del Norte,12/17/2015,Pending Construction,10000.00,1,
08 - Del Norte,12/17/2015,In Construction,1118308.00,6,
08 - Del Norte,12/17/2015,In Closure,1282552.00,1,
09 - El Dorado,12/17/2015,In Review,5562790.00,5,Greater Sacramento Counties
09 - El Dorado,12/17/2015,Pending Construction,116380.00,2,Greater Sacramento Counties
09 - El Dorado,12/17/2015,In Construction,14580182.00,14,Greater Sacramento Counties
09 - El Dorado,12/17/2015,In Closure,141260.00,3,Greater Sacramento Counties
10 - Fresno,12/17/2015,In Review,33403534.00,21,
10 - Fresno,12/17/2015,Pending Construction,7222275.00,32,
10 - Fresno,12/17/2015,In Construction,75738778.00,92,
10 - Fresno,12/17/2015,In Closure,92040106.00,40,
11 - Glenn,12/17/2015,In Review,12912075.00,1,
11 - Glenn,12/17/2015,Pending Construction,50000.00,1,
11 - Glenn,12/17/2015,In Construction,284685.00,1,
11 - Glenn,12/17/2015,In Closure,0.00,0,
12 - Humboldt,12/17/2015,In Review,12077932.00,9,
12 - Humboldt,12/17/2015,Pending Construction,1222701.00,9,
12 - Humboldt,12/17/2015,In Construction,89576370.00,18,
12 - Humboldt,12/17/2015,In Closure,243000.00,3,
13 - Imperial,12/17/2015,In Review,43162000.00,3,
13 - Imperial,12/17/2015,Pending Construction,20000000.00,3,
13 - Imperial,12/17/2015,In Construction,9243900.00,6,
13 - Imperial,12/17/2015,In Closure,403348.00,4,
14 - Inyo,12/17/2015,In Review,30000.00,1,
14 - Inyo,12/17/2015,Pending Construction,0.00,0,
14 - Inyo,12/17/2015,In Construction,0.00,0,
14 - Inyo,12/17/2015,In Closure,45000.00,1,
15 - Kern,12/17/2015,In Review,29094726.00,29,
15 - Kern,12/17/2015,Pending Construction,3196550.00,20,
15 - Kern,12/17/2015,In Construction,67949473.00,37,
15 - Kern,12/17/2015,In Closure,2304531.00,10,
16 - Kings,12/17/2015,In Review,322987.00,3,
16 - Kings,12/17/2015,Pending Construction,27000.00,3,
16 - Kings,12/17/2015,In Construction,28313428.00,3,
16 - Kings,12/17/2015,In Closure,5670.00,1,
17 - Lake,12/17/2015,In Review,149286.00,4,
17 - Lake,12/17/2015,Pending Construction,1242000.00,5,
17 - Lake,12/17/2015,In Construction,3572639.00,8,
17 - Lake,12/17/2015,In Closure,9064984.00,7,
18 - Lassen,12/17/2015,In Review,0.00,0,
18 - Lassen,12/17/2015,Pending Construction,1002600.00,3,
18 - Lassen,12/17/2015,In Construction,1513531.00,11,
18 - Lassen,12/17/2015,In Closure,671182.00,3,
19 - Los Angeles,12/17/2015,In Review,598170359.00,543,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,Pending Construction,230783137.00,515,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,In Construction,929573293.00,894,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,In Closure,1187807204.00,514,Greater Los Angeles Counties
20 - Madera,12/17/2015,In Review,2939783.00,8,
20 - Madera,12/17/2015,Pending Construction,2081024.00,12,
20 - Madera,12/17/2015,In Construction,5939186.00,20,
20 - Madera,12/17/2015,In Closure,4250215.00,14,
21 - Marin,12/17/2015,In Review,189888577.00,19,Bay Area Counties
21 - Marin,12/17/2015,Pending Construction,99257729.00,18,Bay Area Counties
21 - Marin,12/17/2015,In Construction,16421823.00,30,Bay Area Counties
